method,go_dark_count,spoofing_count,transshipment_count,total_alert,source_file,notes
rule_based,41,304,20,365,KAPAL YG TERDETEKSI\scene_candidates_summary.csv,
h5,507,not_available,not_available,507,KAPAL YG TERDETEKSI\final_h5_alert_summary.csv,"spoofing not run: missing distance_from_shore, distance_from_port, claimed_identity_registered, claimed_history_age_log_hours, claimed_prev_dt_log_hours, claimed_prev_distance_log_km, claimed_prev_implied_speed_log_knots, claimed_concurrent_reports_log1p, claimed_concurrent_spread_log_km, claimed_revisit_lag_log_hours, claimed_revisit_score; transshipment not run: missing event_mode_id, shore_km_min, port_km_min, duration_nearby_minutes, event_duration_minutes, is_offshore, is_port_far, gear_a_id, gear_b_id, loitering_spatial_range_km, loitering_start_end_km, loitering_compactness, loitering_turn_rate_abs, loitering_duration_minutes"
