scene,MMSI,Name,category,event_type,pred_label,go_dark_probability_calibrated,alat_tangkap,Center_latitude,Center_longitude,AIS_Latitude,AIS_Longitude,kalman_est_lat,kalman_est_lon,sar_x,sar_y,ais_x,ais_y,kalman_x,kalman_y
S1A_IW_GRDH_1SDV_20260215T104128_20260215T104157_063228_07F03A_350C,525600095,BANDAR NELAYAN 108,Fishing,go_dark,go_dark,0.3583169379047012,DRIFTING_LONGLINES,-9.08367611687131,115.3027331228616,-9.09,115.30999755859376,-9.09,115.30999756,8291.672221739798,8743.373451992808,8354.542410736087,8658.814790824455,8354.542425822301,8658.814787462667
S1A_IW_GRDH_1SDV_20260215T104128_20260215T104157_063228_07F03A_350C,525800332,MILLENIUM JAYA 118,Fishing,go_dark,go_dark,0.5587279690961946,UNKNOWN_FISHING_GEAR,-9.078520026826924,115.59812040154743,-9.06,115.5199966430664,-9.06,115.51999664,11472.981918196532,8090.658149419957,10679.105208258881,8474.845105135737,10679.105175359442,8474.845112487052
S1A_IW_GRDH_1SDV_20260215T104128_20260215T104157_063228_07F03A_350C,525600097,BANDAR NELAYAN 288,Fishing,normal,normal,0.3333613164071821,DRIFTING_LONGLINES,-9.13032311587397,115.24236940144866,-15.3,109.69999695,-15.3,109.69999695,7533.0519893738665,8391.981649310257,-65524.74596899871,-44236.94439758857,-65524.74596899871,-44236.94439758857
S1A_IW_GRDH_1SDV_20260215T104128_20260215T104157_063228_07F03A_350C,525005141,KMP NUSA BHAKTI,Passenger,normal,normal,0.3152906480183922,,-8.65779189249597,115.87897493338411,-9.548276186085369,115.74405670166016,-9.54827619,115.7440567,15496.268012903844,11886.775438741523,11911.299066241001,2748.7804588861154,11911.299039057394,2748.7804212908613
