scene,MMSI,Name,category,event_type,pred_label,go_dark_probability_calibrated,alat_tangkap,Center_latitude,Center_longitude,AIS_Latitude,AIS_Longitude,kalman_est_lat,kalman_est_lon,sar_x,sar_y,ais_x,ais_y,kalman_x,kalman_y
S1A_IW_GRDH_1SDV_20260307T111544_20260307T111609_063520_07FB52_A93E,525000555,KM.BANDAR BESTARI 03,Fishing,go_dark,go_dark,0.9426583384143608,UNKNOWN_FISHING_GEAR,-4.425427585427941,107.1623643415734,-4.39,107.16999816894533,-4.39,107.16999817,20634.1895425526,3461.4038758705033,20800.451892218458,3819.8108696470617,20800.451903654546,3819.8108671588193
S1A_IW_GRDH_1SDV_20260307T111544_20260307T111609_063520_07FB52_A93E,525901978,,Fishing,go_dark,go_dark,0.628854430869503,UNKNOWN_FISHING_GEAR,-4.163054032216784,107.32377053148667,-6.0,108.80000305,-6.0,108.80000305,23002.79688923205,5868.58476234628,34625.00032144131,-17169.912882881046,34625.00032144131,-17169.912882881046
S1A_IW_GRDH_1SDV_20260307T111544_20260307T111609_063520_07FB52_A93E,525801901,KM MEGA PRO 3,Fishing,go_dark,go_dark,0.6824883382630403,SET_GILLNETS,-3.918776430297477,107.39885535824844,-3.92,107.4000015258789,-3.92,107.40000153,24392.70376815362,8287.789272047658,24402.255732067766,8272.078351897739,24402.255776773844,8272.07834217371
S1A_IW_GRDH_1SDV_20260307T111544_20260307T111609_063520_07FB52_A93E,525210000,KM USAHA JAYA 2,Fishing,go_dark,go_dark,0.3598028650828996,UNKNOWN_FISHING_GEAR,-4.520710036569706,107.41655600882537,-4.52,107.41999816894533,-4.52,107.41999817,23165.213606089947,1848.5424435583193,23204.202629652194,1847.9473907830256,23204.20264108471,1847.9473882888633
S1A_IW_GRDH_1SDV_20260307T111544_20260307T111609_063520_07FB52_A93E,525601104,KM ABIMANYU,Fishing,go_dark,go_dark,0.7791051319251945,UNKNOWN_FISHING_GEAR,-4.280995867060608,107.41841183102508,-4.28,107.41999816894533,-4.28,107.41999817,23751.041961486633,4391.6211501732105,23770.591901774656,4398.456746915975,23770.591913210596,4398.456744423892
S1A_IW_GRDH_1SDV_20260307T111544_20260307T111609_063520_07FB52_A93E,525006283,MV KIN,Cargo,go_dark,go_dark,0.9024139135018104,,-3.796997887046975,106.74379811450844,-3.82,106.73999786,-3.82,106.73999786,17570.8253105655,11123.414502405729,17475.63008245122,10887.929952622682,17475.63008245122,10887.929952622682
